customer_id,company_name,contact_name,city,state,country
C0001,"Boone, Kerr and Ryan",Anthony Gordon,West Todd,TN,USA
C0002,Murphy Group,Corey Davis,Jamesmouth,VA,USA
C0003,Walsh Group,Arthur Mcdonald,North Denise,GA,USA
C0004,"Frazier, Ortega and Khan",James Henderson,Garnerchester,GA,USA
C0005,Wiggins and Sons,Haley Johnson,Albertshire,NC,USA
C0006,Duke Group,Austin Hernandez,Peggyshire,SC,USA
C0007,Jackson-Anthony,Sheena White,North Cameronshire,NC,USA
C0008,Ferguson-Park,Robert Lowe,Sparksberg,NC,USA
C0009,"White, Sparks and Rojas",Jill Preston,North Susan,VA,USA
C0010,Morgan-Jones,Melissa Bell,East Joshuamouth,GA,USA
C0011,Ramirez and Sons,Dan Rodriguez,Johnview,TN,USA
C0012,"Rowland, Thompson and Smith",Louis Rios,Port Matthewview,VA,USA
C0013,Guerrero-Tran,Felicia Giles,Michaelstad,TN,USA
C0014,Morales-Brown,Austin Hernandez,East Matthewstad,VA,USA
C0015,West Ltd,Michael Morrow,East Stephen,NC,USA
C0016,"Flores, Lowe and Navarro",Jeffrey Gibson,Karenbury,NC,USA
C0017,Lane LLC,Jessica Estrada,Angelaborough,TN,USA
C0018,Mejia Group,Lisa Larsen,South Saraview,VA,USA
C0019,"Best, Freeman and Trujillo",Amanda Berg,Lake Christophermouth,SC,USA
C0020,Meyer-Jones,William Rodriguez,East Michaelside,NC,USA
C0021,Jarvis Ltd,Christopher Blair,South Derrick,SC,USA
C0022,Kemp Ltd,Melinda Beard,New Allisontown,TN,USA
C0023,Winters-Romero,Matthew Velez,North Vanessamouth,NC,USA
C0024,"Duncan, Marks and Austin",Donald Molina,North Keithhaven,SC,USA
C0025,Andersen LLC,Christopher Carey,Hernandezmouth,SC,USA
C0026,"Johnson, Torres and Hurst",Curtis Hernandez,South Scott,GA,USA
C0027,Henson Inc,Cheryl Waters,West Alicia,SC,USA
C0028,Avila Group,Kevin Bates,Kimberlymouth,VA,USA
C0029,"Peck, Baker and Baird",Eric Thompson,West Timothyton,NC,USA
C0030,Williams-Brown,Calvin Andersen,Lake Jacobmouth,VA,USA
C0031,Wood-Underwood,Kyle Nash,Port Frank,VA,USA
C0032,"Freeman, Gillespie and Fisher",Amber Moreno,Port Heatherport,SC,USA
C0033,Garrett-Hanson,Tony Sanchez,Port Scott,GA,USA
C0034,Price PLC,Anne Weaver,Nelsonstad,NC,USA
C0035,Martin-Jones,Sharon Farrell,Singhburgh,NC,USA
C0036,"Brown, Figueroa and Silva",David Baldwin,New Jennifer,GA,USA
C0037,"Bradley, Koch and Whitney",Monique Miller,North Anita,GA,USA
C0038,Wilson-Hernandez,Mr. Charles Moore MD,East Michaelland,NC,USA
C0039,"King, Barnett and Smith",Christopher Hall,Lake Michelle,VA,USA
C0040,Sanchez-Huffman,Raymond Carpenter,Shelbyfurt,SC,USA
C0041,Perez-Turner,Kelli Henderson,Lake Sabrina,VA,USA
C0042,"Spence, Gray and Rose",Penny White,South Trevor,TN,USA
C0043,"Clark, Garcia and Perry",Shelley Mcdowell,West Gregoryberg,NC,USA
C0044,"Larson, Sullivan and Nielsen",Lisa Mcdaniel,Port Patricia,SC,USA
C0045,"Carson, Patton and Thompson",Jacob Love,Port Misty,GA,USA
C0046,"Rice, Lyons and Hall",Adam Marshall,West Natasha,SC,USA
C0047,Jones-Barnett,Thomas Dominguez,Tonyland,TN,USA
C0048,Bailey-Murphy,Bradley Cardenas,Evansview,GA,USA
C0049,Thompson PLC,Victor Black,Josephshire,VA,USA
C0050,Wilkerson and Sons,Luis Villa,Caldwellport,SC,USA
C0051,Hudson-Burgess,Jordan Casey,South Whitney,GA,USA
C0052,Parker and Sons,Gary Jackson,Christopherside,SC,USA
C0053,Hernandez-Smith,Michael Rice,Cynthiafurt,TN,USA
C0054,Stevens Inc,Steven Hughes,Jessicaland,SC,USA
C0055,"Rodriguez, Parker and Harrison",Jennifer Moore,South Erik,NC,USA
C0056,Meyer and Sons,Leslie Lopez,Ochoamouth,GA,USA
C0057,Preston LLC,William Rubio,North Karen,SC,USA
C0058,"May, Newton and Foley",Timothy Padilla,Tammyton,NC,USA
C0059,Johnson-Jackson,Miranda Velazquez,East James,TN,USA
C0060,Blair and Sons,James Nicholson,Lindaland,SC,USA
C0061,Palmer Group,Matthew Ortega,Lake Julie,TN,USA
C0062,"Elliott, Bryant and Martinez",Jerry Everett,North Abigail,TN,USA
