address_id,member_id,address_type,street,city,state,zipcode
1,100001,MAILING,0701 Bradley Branch,Port Joshuashire,FL,30287
2,100002,MAILING,4726 Crawford Tunnel,Gomezland,NC,77232
3,100003,MAILING,1231 Joseph Courts Suite 530,Port Jeremiahborough,FL,30570
4,100004,MAILING,0042 Brandy Islands Apt. 080,Deckertown,NC,18254
5,100005,MAILING,07180 Shelley Causeway Apt. 217,Port Natalie,GA,81480
6,100006,MAILING,82476 Gregory Place Suite 741,North Jamesfort,SC,85329
7,100007,MAILING,287 Debbie Pike,Aguilarside,NC,66153
8,100008,MAILING,693 Molina Plains,Taylorview,SC,14351
9,100009,MAILING,408 Jamie Corners Apt. 302,Port Andre,NC,71419
10,100010,MAILING,265 Savannah Land,West Vickifort,NC,09622
11,100011,MAILING,000 Jennifer Heights,Hudsonview,GA,60694
12,100012,MAILING,761 Oconnor Expressway Suite 326,Josephville,NC,70664
13,100013,MAILING,02951 Sabrina Course,North Matthew,VA,33868
14,100014,MAILING,77663 Ramos Manors Suite 055,North Michael,FL,41559
15,100015,MAILING,4806 Lam Skyway,Samuelshire,GA,06784
16,100016,MAILING,900 Julia Ways Suite 118,South Crystal,NC,67801
17,100017,MAILING,15538 Gray Junction,East Anthonymouth,NC,76745
18,100018,MAILING,883 Bryan Track,Sandraview,NC,10014
19,100019,MAILING,18268 Moore Plains Suite 098,Hughestown,NC,04151
20,100020,MAILING,312 Glover Forks Suite 863,Rogerborough,FL,31833
21,100021,MAILING,431 Keith Oval,Smithshire,FL,47840
22,100022,MAILING,743 Robert Field,Robertston,TN,91636
23,100023,MAILING,3297 Butler Village Suite 454,Englishburgh,GA,75876
24,100024,MAILING,1059 Gregory Knoll,West Tommy,VA,82412
25,100025,MAILING,434 Garcia Shoal Apt. 391,Michaelberg,VA,29310
26,100026,MAILING,47997 Sharon Via,North Jennifer,SC,19486
27,100027,MAILING,031 Lindsay Highway Apt. 627,Bakerville,VA,99513
28,100028,MAILING,373 Michele Cliff,Taylorchester,SC,36775
29,100029,MAILING,69280 Wong Passage,Staceyville,GA,56927
30,100030,MAILING,13803 Rojas Courts Apt. 832,East Elaine,NC,58225
31,100031,MAILING,645 Angelica Ferry,Lake Helenfort,NC,26050
32,100032,MAILING,3561 Carter Pike Suite 320,Burnsstad,NC,75829
33,100033,MAILING,109 White Inlet,New Edwardberg,TN,55296
34,100034,MAILING,802 Amanda Shoal,Michealtown,NC,06022
35,100035,MAILING,70278 Bonilla Shoal,Lake Johnhaven,NC,61283
36,100036,MAILING,1073 Cathy Fork,South Laurie,FL,03897
37,100037,MAILING,17178 Nicholas Rest,West Elizabethton,VA,82164
38,100038,MAILING,737 Mitchell Parkways Apt. 056,Lake David,NC,88330
39,100039,MAILING,4437 Griffin Turnpike,Rodriguezside,TN,75466
40,100040,MAILING,874 Martin Garden Apt. 325,South Jason,VA,69167
41,100041,MAILING,449 Mary View Suite 810,East Lauren,NC,21992
42,100042,MAILING,1077 Velasquez Circles Apt. 671,Phillipschester,NC,91063
43,100043,MAILING,460 Case Green Apt. 636,South Brandon,SC,88661
44,100044,MAILING,466 Amy Curve,Lake Tracy,NC,73029
45,100045,MAILING,92265 Young Rest Suite 427,Rebeccafurt,GA,78845
46,100046,MAILING,18707 Gomez Inlet,Kelleyfurt,GA,74033
47,100047,MAILING,9702 Martha Islands,South Eugene,TN,09102
48,100048,MAILING,4190 Stevens Locks,Port Garymouth,SC,51281
49,100049,MAILING,39007 Joan Junction Suite 381,Lake Heidi,NC,32771
50,100050,MAILING,06187 Mike Union Apt. 975,Port Michelleville,GA,29977
51,100051,MAILING,288 Eric Light Suite 910,North Phillip,NC,18365
52,100052,MAILING,48024 Lisa Stream,Flynnton,NC,24410
53,100053,MAILING,2151 Robertson Streets,Costaville,GA,78091
54,100054,MAILING,8890 Morris Pike,Wilsonbury,NC,07707
55,100055,MAILING,82852 Stephens Unions Suite 399,New Greggshire,NC,29640
56,100056,MAILING,70032 Cooper Dam,East Joshua,VA,53587
57,100057,MAILING,969 Tiffany Mill Suite 705,Wrightborough,NC,63154
58,100058,MAILING,4410 Melanie Wall Apt. 440,North Judithville,GA,36291
59,100059,MAILING,39674 Katherine Orchard Suite 079,Jamesville,NC,20522
60,100060,MAILING,3459 Andrews Ramp Apt. 283,South Christine,SC,68180
61,100061,MAILING,9939 White Mills,West Colleen,NC,46787
62,100062,MAILING,35874 Hayes Plains Apt. 200,Parkerbury,SC,32956
63,100063,MAILING,1001 Rowe Crescent,Matthewside,FL,79991
64,100064,MAILING,5832 Thomas Ports,Hurstmouth,NC,58143
65,100065,MAILING,637 Charles Ford Suite 960,Stevenland,NC,20042
66,100066,MAILING,4159 Baker Ports,Woodchester,NC,03112
67,100067,MAILING,77683 Montgomery Court,Caldwellbury,NC,43439
68,100068,MAILING,965 Jessica Mountains,Lake Alison,GA,85769
69,100069,MAILING,672 Robbins Fields,Port Michaelton,SC,72560
70,100070,MAILING,87408 Jasmin Burg,Lake Christopherland,SC,82333
71,100071,MAILING,123 Judy Burgs,East Zacharyborough,NC,54287
72,100072,MAILING,65851 Williamson Court Apt. 007,East Nicole,VA,40350
73,100073,MAILING,51905 Sean Glen Apt. 499,Rodneyview,NC,73068
74,100074,MAILING,8547 Peterson Islands Apt. 030,South Michelle,SC,77730
75,100075,MAILING,05996 Denise Brook Suite 290,Alexandraton,SC,82267
76,100076,MAILING,1163 Robert Dale Suite 099,Hansonstad,SC,48795
77,100077,MAILING,2917 Yoder Centers,Brocktown,VA,01561
78,100078,MAILING,0923 Randy Glen Suite 683,Millerberg,VA,85838
79,100079,MAILING,077 Reyes Shoal Suite 092,Ryanport,NC,20960
80,100080,MAILING,8404 Robert Isle,Jessicafurt,NC,11078
81,100081,MAILING,3654 Kenneth Road,West Henryshire,NC,44271
82,100082,MAILING,34197 Edwards Trail,Jeffreyhaven,TN,81761
83,100083,MAILING,08137 Rosales Street,East Charles,NC,93975
84,100084,MAILING,7916 Katrina Ports Suite 344,Billyshire,NC,48577
85,100085,MAILING,30043 Lewis Ridge,Port Julieburgh,NC,03689
86,100086,MAILING,29047 Christopher Motorway,Bennettport,TN,46360
87,100087,MAILING,10754 Douglas Summit,Taylorland,SC,37134
88,100088,MAILING,286 Baldwin Stream Suite 344,Port David,NC,79945
89,100089,MAILING,19731 Carr Station,East Joshua,NC,04899
90,100090,MAILING,1444 Brenda Plaza,Franklinfurt,NC,72630
91,100091,MAILING,74219 Sara Fork,North John,NC,55506
92,100092,MAILING,42976 Brett Landing Suite 391,Sparksfort,VA,20653
93,100093,MAILING,05463 Mann Gardens,Michelefurt,GA,06014
94,100094,MAILING,686 Odom Island Suite 397,Martinezport,NC,76039
95,100095,MAILING,88764 Mark Crescent Apt. 285,New Jean,SC,48852
96,100096,MAILING,8238 Oliver Plaza,Lisaville,NC,22542
97,100097,MAILING,18627 Lozano Wall Suite 624,Elizabethshire,NC,93308
98,100098,MAILING,804 Kevin Extensions,Port Steventon,NC,80271
99,100099,MAILING,8363 Lewis Cape Suite 087,Kimberlyfort,NC,33588
100,100100,MAILING,749 Wanda Brooks Suite 349,New David,VA,41505
101,100101,MAILING,60921 White Shoal,Woodshire,VA,16693
102,100102,MAILING,702 Michael Roads Suite 853,Lake Robert,TN,75872
103,100103,MAILING,34627 Wagner Cliff,Port Cynthiaport,VA,91031
104,100104,MAILING,462 Elizabeth Prairie,Lake Matthewbury,FL,92075
