account_id,member_id,service_address,service_city,service_state,start_date,end_date,billing_status_cd
300001,101738,900 Williams Prairie,Conwayside,VA,2025-09-20,2026-01-15,CLOSED
300002,101311,507 Sullivan Bridge,Lake Danielfurt,SC,2019-03-29,,ACTIVE
300003,101274,635 Emily Burg Apt. 008,Tommyberg,NC,2018-04-04,,ACTIVE
300004,101365,202 Fox Alley Apt. 878,Cainchester,NC,2018-12-28,,ACTIVE
300005,100338,41713 Raymond Inlet,Donnaland,SC,2020-04-07,,ACTIVE
300006,101919,19149 Russell Overpass,West Billy,NC,2025-04-22,,ACTIVE
300007,101356,11075 Felicia Alley Suite 534,North Davidfurt,NC,2019-11-19,,ACTIVE
300008,100784,82275 Casey Extensions,New Erica,SC,2024-05-27,,ACTIVE
300009,101836,74960 Brown Prairie Apt. 326,Bellstad,SC,2018-12-16,,ACTIVE
300010,101863,52648 Singh Bridge,Dianabury,NC,2019-05-19,,ACTIVE
300011,101203,9173 Terri Summit Apt. 598,Rodgershaven,NC,2022-02-03,2023-03-16,CLOSED
300012,100461,748 Figueroa Mountain,Lake Ronald,NC,2019-10-20,,ACTIVE
300013,100767,415 Calhoun Parks,Hansenfurt,NC,2019-05-04,,ACTIVE
300014,101586,453 Janet Courts Apt. 831,Mcintoshborough,SC,2024-09-04,,ACTIVE
300015,100887,2760 Maddox Run Suite 173,North Emilyport,SC,2025-12-29,,ACTIVE
300016,100472,956 Collins Gateway Suite 752,New Timothyton,SC,2023-10-16,,ACTIVE
300017,101359,228 Watkins Lakes Suite 815,Rogerstad,SC,2021-01-31,,ACTIVE
300018,100199,1831 Janet Stravenue,Richardshire,SC,2023-11-02,,ACTIVE
300019,101841,855 Jennifer Drive Suite 802,Williamtown,SC,2023-10-06,2025-08-09,CLOSED
300020,100859,578 Jessica Walk,Camposside,VA,2021-08-22,,ACTIVE
300021,101568,8652 Jonathan Plains,Lake Kimberlyside,NC,2018-08-14,,CLOSED
300022,101360,114 Bryan Manors Suite 976,Ryanberg,NC,2023-04-05,2023-11-20,CLOSED
300023,101413,41895 Kline Plaza,Littlechester,VA,2022-09-05,,ACTIVE
300024,101994,920 Williams Station,North Cynthia,NC,2023-10-23,,ACTIVE
300025,101443,65459 Gallagher Knoll,Jeremyhaven,GA,2023-03-17,,ACTIVE
300026,101208,429 Reyes Neck,North Melissa,NC,2024-05-30,,ACTIVE
300027,100111,1526 Kristin Courts Apt. 383,Williamview,NC,2018-09-17,2021-04-05,CLOSED
300028,100446,6376 Reynolds Stream,Nolanhaven,VA,2023-02-13,2026-06-24,CLOSED
300029,100237,8034 Lisa Lock,West Donald,SC,2025-10-21,,ACTIVE
300030,100561,11072 Madeline Extensions Apt. 967,West Meganburgh,FL,2023-07-24,2025-02-28,CLOSED
300031,101272,9393 Mary Forks,Lake Ruben,NC,2019-01-09,,ACTIVE
300032,101286,814 Laura Prairie Apt. 086,Lake Edward,NC,2022-05-13,,ACTIVE
300033,100174,1679 Marissa Loop Apt. 175,Monroeton,SC,2024-12-27,,ACTIVE
300034,100651,7969 Calvin Wall,New Jonathanport,NC,2025-03-19,,ACTIVE
300035,100310,49744 Seth Green Apt. 025,Rhodeshaven,NC,2020-12-22,,ACTIVE
300036,100646,12299 Mason Route Apt. 708,East Karlaton,NC,2025-09-10,,ACTIVE
300037,100485,0211 Anderson View Apt. 082,West Michellemouth,NC,2018-01-15,,ACTIVE
300038,100886,6990 Wagner Knolls,East Valerie,SC,2022-02-17,,ACTIVE
300039,101692,94440 Latoya Rue,South Miguelhaven,NC,2019-03-25,,ACTIVE
300040,101316,2937 David Trafficway,Hicksburgh,NC,2022-12-16,,ACTIVE
300041,100099,434 Leslie Vista Apt. 864,New Maryborough,NC,2019-02-26,,ACTIVE
300042,100719,869 Laura Gateway,Taylorfurt,TN,2019-06-04,,ACTIVE
300043,101685,0738 Contreras Trail,Burkestad,NC,2020-03-05,,ACTIVE
300044,100161,775 Baird Points,Lake Toddmouth,TN,2023-05-14,,ACTIVE
